timestamp,text,sentiment
2025-08-05 12:00:00,Loved the spicy miso ramen! Staff were friendly.,positive
2025-08-05 12:00:00,Waited 30 minutes for food and it was cold.,negative
2025-08-05 12:00:00,"Food was okay, nothing special.",neutral
2025-08-06 12:00:00,Fantastic broth and perfect noodles. Will come again!,positive
2025-08-06 12:00:00,"Rude cashier, and the ramen was bland.",negative
2025-08-06 12:00:00,"Average experience, decent price.",neutral
2025-08-07 12:00:00,Great ambiance and quick service.,positive
2025-08-07 12:00:00,Overpriced and small portions.,negative
2025-08-07 12:00:00,Menu had variety but service was inconsistent.,neutral
2025-08-08 12:00:00,Loved the spicy miso ramen! Staff were friendly.,positive
2025-08-08 12:00:00,Waited 30 minutes for food and it was cold.,negative
2025-08-08 12:00:00,"Food was okay, nothing special.",neutral
2025-08-09 12:00:00,Fantastic broth and perfect noodles. Will come again!,positive
2025-08-09 12:00:00,"Rude cashier, and the ramen was bland.",negative
2025-08-09 12:00:00,"Average experience, decent price.",neutral
2025-08-10 12:00:00,Great ambiance and quick service.,positive
2025-08-10 12:00:00,Overpriced and small portions.,negative
2025-08-10 12:00:00,Menu had variety but service was inconsistent.,neutral
2025-08-11 12:00:00,Loved the spicy miso ramen! Staff were friendly.,positive
2025-08-11 12:00:00,Waited 30 minutes for food and it was cold.,negative
2025-08-11 12:00:00,"Food was okay, nothing special.",neutral
2025-08-12 12:00:00,Fantastic broth and perfect noodles. Will come again!,positive
2025-08-12 12:00:00,"Rude cashier, and the ramen was bland.",negative
2025-08-12 12:00:00,"Average experience, decent price.",neutral
2025-08-13 12:00:00,Great ambiance and quick service.,positive
2025-08-13 12:00:00,Overpriced and small portions.,negative
2025-08-13 12:00:00,Menu had variety but service was inconsistent.,neutral
2025-08-14 12:00:00,Loved the spicy miso ramen! Staff were friendly.,positive
2025-08-14 12:00:00,Waited 30 minutes for food and it was cold.,negative
2025-08-14 12:00:00,"Food was okay, nothing special.",neutral
